#,"Número de contrato",Procedimiento,Proveedor,Ejercicio,Trimestre,Contratante,Solicitante,"Objeto del contrato",Descripción,"Fundamento jurídico","Fecha celebración","Fecha inicio","Fecha fin","Monto original del contrato","Monto modificado","Monto total","Monto pagado a la fecha","Archivo contrato en PDF (Vinculo al archivo)",Estatus
1,010/2016,"Adjudicación directa","Televisión y Radio Caribe S.A. de C.V.",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo","Cobertura de  Propaganda Radiofonica Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.o","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial.",2016-01-18,2016-01-01,2016-12-31,6803400.00,0.00,6803400.00,6803400.00,010._TELEVISION_Y_RADIO_CARIBE_S.A._DE_C.V._-_LUIS_JAVIER_ALEGRE_SALAZAR.pdf,Activo
2,011/2016,"Adjudicación directa","Turquesa Organización S.A. de C.V.",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo","Cobertura de  Propaganda Radiofonica Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial.",2016-01-28,2016-01-01,2016-12-31,6803400.00,0.00,6803400.00,6803400.00,011-TURQUESA_ORGANIZACION_SA_DE_CV.pdf,Activo
3,067/2016,"Adjudicación directa","Jesús Cruz Martínez",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo","Cobertura Publicitaria del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial.",2016-01-21,2016-01-01,2016-12-31,79920.00,0.00,79920.00,79920.00,067_JESUS_CRUZ_MARTINEZ.pdf,Activo
4,151/2016,"Adjudicación directa","Tv Azteca  S.A.B. de C.V.",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo","Cobertura de  Propaganda Televisica del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial.",2016-01-22,2016-01-01,2016-12-31,24031488.00,0.00,24031488.00,24031488.00,151-_TV_AZTECA_REBECA_URIBE_LOPEZ.pdf,Activo
5,191/2016,"Adjudicación directa","Telecable de Tulum  S.A. de C.V.",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo","Cobertura de  Propaganda Televisica del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial.",2016-01-21,2016-01-01,2016-12-31,1332000.12,0.00,1332000.12,1332000.12,191._TELECABLE_DE_TULUM_S.A._DE_C.V.-_JORGE_ALBERTO_PORTILLA_MANICA.pdf,Activo
6,0002/2016,"Adjudicación directa","Promocenter Comunicación S.A. de C.V.",2016,"4o Trimestre (Octubre-Diciembre)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo","Cobertura Publicitaria del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","En los artículos 2,3,4,19 fracción III, 30 fracción VII y 33 fracciones XXXIII y XXXIV de la Ley Orgánica de la Administración Pública del Estado de Quintana Roo; 8 y 9 fracción VII del Reglamento Interior de la Secretaría de Finanzas y Planeación.",2016-11-15,2016-11-01,2016-12-31,696000.00,0.00,696000.00,696000.00,0002-2016_PROMOCENTER_COMUNICACIONES_SA_DE_CV.pdf,Activo
7,0003/2016,"Adjudicación directa","Novedades de Quintana Roo S.A. de C.V.",2016,"4o Trimestre (Octubre-Diciembre)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo","Cobertura Publicitaria del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","En los artículos 2,3,4,19 fracción III, 30 fracción VII y 33 fracciones XXXIII y XXXIV de la Ley Orgánica de la Administración Pública del Estado de Quintana Roo; 8 y 9 fracción VII del Reglamento Interior de la Secretaría de Finanzas y Planeación.",2016-10-19,2016-10-01,2016-12-31,8625219.00,0.00,8625219.00,8625219.00,0003-2016_NOVEDADES_DE_QUINTANA_ROO.pdf,Activo
8,0004/2016,"Adjudicación directa","America Ves S.A. de C.V.",2016,"4o Trimestre (Octubre-Diciembre)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo","Cobertura Publicitaria del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","En los artículos 2,3,4,19 fracción III, 30 fracción VII y 33 fracciones XXXIII y XXXIV de la Ley Orgánica de la Administración Pública del Estado de Quintana Roo; 8 y 9 fracción VII del Reglamento Interior de la Secretaría de Finanzas y Planeación.",2016-11-01,2016-11-01,2016-12-31,696000.00,0.00,696000.00,696000.00,0004-AMERICA_VE_S_SA_DE_CV.pdf,Activo
9,0005/2016,"Adjudicación directa","Crea Actividad Vera S.A. de C.V.",2016,"4o Trimestre (Octubre-Diciembre)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo","Cobertura de propaganda Radiofonica del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","En los artículos 2,3,4,19 fracción III, 30 fracción VII y 33 fracciones XXXIII y XXXIV de la Ley Orgánica de la Administración Pública del Estado de Quintana Roo; 8 y 9 fracción VII del Reglamento Interior de la Secretaría de Finanzas y Planeación.",2016-11-01,2016-11-01,2016-12-31,696000.00,0.00,696000.00,696000.00,0005-2016_CREA_ACTIVIDAD_VERASA_DE_CV-VICTOR_MANUEL_VERA_CASTILLO.pdf,Activo
10,0006/2016,"Adjudicación directa","Editora de Medios Mapa S.A. de C.V",2016,"4o Trimestre (Octubre-Diciembre)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo","Cobertura Publicitaria del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","En los artículos 2,3,4,19 fracción III, 30 fracción VII y 33 fracciones XXXIII y XXXIV de la Ley Orgánica de la Administración Pública del Estado de Quintana Roo; 8 y 9 fracción VII del Reglamento Interior de la Secretaría de Finanzas y Planeación.",2016-11-01,2016-11-01,2016-12-31,2784000.00,0.00,2784000.00,2784000.00,0006_EDITORIA_DE_MEDIOS_MAPA_SA_DE_CV.pdf,Activo
