#,"Número de factura",Proveedor,Contrato,Orden,Ejercicio,Trimestre,Monto,"Archivo factura en PDF (Vínculo al archivo)","Archivo factura en XML (Vínculo al archivo)","Fecha de erogación",Estatus
1,"Abril 4652, mayo 4753, junio 4879","Televisión y Radio Caribe S.A. de C.V.",010/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",1700850.00,,,2016-06-30,Activo
2,"abril 1287, mayo 1326, junio 1362","Turquesa Organización S.A. de C.V.",011/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",1700850.00,,,2016-06-30,Activo
3,003/octubre,"Jesús Cruz Martínez",067/2016,"Sin orden de compra",2016,"4o Trimestre (Octubre-Diciembre)",6660.00,,,2016-10-31,Activo
4,071/octubre,"Telecable de Tulum  S.A. de C.V.",191/2016,"Sin orden de compra",2016,"4o Trimestre (Octubre-Diciembre)",111000.01,,,2016-10-31,Activo
5,234/noviembre,"Promocenter Comunicación S.A. de C.V.",0002/2016,"Sin orden de compra",2016,"4o Trimestre (Octubre-Diciembre)",348000.00,,,2016-11-30,Activo
6,44752/octubre,"Novedades de Quintana Roo S.A. de C.V.",0003/2016,"Sin orden de compra",2016,"4o Trimestre (Octubre-Diciembre)",2875073.00,,,2016-10-31,Activo
7,4653/octubre,"Crea Actividad Vera S.A. de C.V.",0005/2016,"Sin orden de compra",2016,"4o Trimestre (Octubre-Diciembre)",348000.00,,,2016-10-31,Activo
8,0269/noviembre,"Editora de Medios Mapa S.A. de C.V",0006/2016,"Sin orden de compra",2016,"4o Trimestre (Octubre-Diciembre)",1392000.00,,,2016-11-30,Activo
9,0138/noviembre,"Pedro Celestino Canche Herrera",0008/2016,"Sin orden de compra",2016,"4o Trimestre (Octubre-Diciembre)",50000.06,,,2016-11-30,Activo
10,760/diciembre,"Talina y Jonathan S.A. de C.V.",0010/2016,"Sin orden de compra",2016,"4o Trimestre (Octubre-Diciembre)",348000.00,,,2016-12-31,Activo
11,"julio 4985, agosto 5085, septiembre 5214","Televisión y Radio Caribe S.A. de C.V.",010/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",1700850.00,,,2016-09-30,Activo
12,"octubre 5319, noviembre 5474, diciembre 5547","Televisión y Radio Caribe S.A. de C.V.",010/2016,"Sin orden de compra",2016,"4o Trimestre (Octubre-Diciembre)",1700850.00,,,2016-12-31,Activo
13,"julio 1390, agosto 1407, septiembre 1449","Turquesa Organización S.A. de C.V.",011/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",1700850.00,,,2016-09-30,Activo
14,"octubre 1458, noviembere 1524, diciembre 1528.","Turquesa Organización S.A. de C.V.",011/2016,"Sin orden de compra",2016,"4o Trimestre (Octubre-Diciembre)",1700850.00,,,2016-12-31,Activo
15,9136/septiembre,"Grupo Informático Cancun Caribe  SA de CV",014/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",,,,2016-09-30,Activo
16,004/noviembre,"Jesús Cruz Martínez",067/2016,"Sin orden de compra",2016,"4o Trimestre (Octubre-Diciembre)",6660.00,,,2016-11-30,Activo
