#,Procedimiento,"Nombre o razón social del proveedor",Ejercicio,Trimestre,"Sujeto obligado contratante","Sujeto obligado solicitante","Número de contrato","Objeto del contrato",Descripción,"Fundamento jurídico","Fecha de celebración","Fecha de inicio","Fecha de término","Monto original de contrato","Archivo del contrato en PDF","Área responsable de la información","Fecha de validación",Año,"Fecha de actualización",Nota,Estatus,"Monto modificado","Monto total","Monto pagado a la fecha"
1,"Licitación pública","María Isabel Arvide Limón",2015,"2o Trimestre (Abril-Junio)",,*prueba,"Sin contrato","Sin contrato","Sin contrato","Sin contrato",,,,"$ 0.00",Ciclo_de_Vida_Proyectos.pdf,,,,,,Activo,$0.00,"$ 0.00","$ 0.00"
2,"Adjudicación directa","Televisión y Radio Caribe S.A. de C.V.",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo",010/2016,"Cobertura de  Propaganda Radiofonica Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.o","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial.",,,,"$ 6,803,400.00",010._TELEVISION_Y_RADIO_CARIBE_S.A._DE_C.V._-_LUIS_JAVIER_ALEGRE_SALAZAR.pdf,"Dirección Administrativa/UV",,2016,,,Activo,$0.00,"$ 6,803,400.00","$ 6,803,400.00"
3,"Adjudicación directa","Turquesa Organización S.A. de C.V.",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo",011/2016,"Cobertura de  Propaganda Radiofonica Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial.",,,,"$ 6,803,400.00",011-TURQUESA_ORGANIZACION_SA_DE_CV.pdf,"Dirección Administrativa/UV",,2016,,,Activo,$0.00,"$ 6,803,400.00","$ 6,803,400.00"
4,"Adjudicación directa","Jesús Cruz Martínez",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo",067/2016,"Cobertura Publicitaria del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial.",,,,"$ 79,920.00",067_JESUS_CRUZ_MARTINEZ.pdf,"Dirección Administrativa/UV",,2016,,,Activo,$0.00,"$ 79,920.00","$ 73,260.00"
5,"Adjudicación directa","Tv Azteca  S.A.B. de C.V.",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo",151/2016,"Cobertura de  Propaganda Televisica del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial.",,,,"$ 24,031,488.00",151-_TV_AZTECA_REBECA_URIBE_LOPEZ.pdf,"Dirección Administrativa/UV",,2016,," 
 ",Activo,$0.00,"$ 24,031,488.00","$ 24,031,488.00"
6,"Adjudicación directa","Telecable de Tulum  S.A. de C.V.",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo",191/2016,"Cobertura de  Propaganda Televisica del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial.",,,,"$ 1,332,000.12",191._TELECABLE_DE_TULUM_S.A._DE_C.V.-_JORGE_ALBERTO_PORTILLA_MANICA.pdf,"Dirección Administrativa/UV",,2016,,,Activo,$0.00,"$ 1,332,000.12","$ 1,332,000.12"
7,"Adjudicación directa","Promocenter Comunicación S.A. de C.V.",2016,"4o Trimestre (Octubre-Diciembre)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo",0002/2016,"Cobertura Publicitaria del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","En los artículos 2,3,4,19 fracción III, 30 fracción VII y 33 fracciones XXXIII y XXXIV de la Ley Orgánica de la Administración Pública del Estado de Quintana Roo; 8 y 9 fracción VII del Reglamento Interior de la Secretaría de Finanzas y Planeación.",,,,"$ 696,000.00",0002-2016_PROMOCENTER_COMUNICACIONES_SA_DE_CV.pdf,"Dirección Administrativa/UV",,2016,,,Activo,$0.00,"$ 696,000.00","$ 696,000.00"
8,"Adjudicación directa","Novedades de Quintana Roo S.A. de C.V.",2016,"4o Trimestre (Octubre-Diciembre)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo",0003/2016,"Cobertura Publicitaria del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","En los artículos 2,3,4,19 fracción III, 30 fracción VII y 33 fracciones XXXIII y XXXIV de la Ley Orgánica de la Administración Pública del Estado de Quintana Roo; 8 y 9 fracción VII del Reglamento Interior de la Secretaría de Finanzas y Planeación.",,,,"$ 8,625,219.00",0003-2016_NOVEDADES_DE_QUINTANA_ROO.pdf,"Dirección Administrativa/UV",,2016,," 
 
 ",Activo,$0.00,"$ 8,625,219.00","$ 8,625,219.00"
9,"Adjudicación directa","America Ves S.A. de C.V.",2016,"4o Trimestre (Octubre-Diciembre)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo",0004/2016,"Cobertura Publicitaria del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","En los artículos 2,3,4,19 fracción III, 30 fracción VII y 33 fracciones XXXIII y XXXIV de la Ley Orgánica de la Administración Pública del Estado de Quintana Roo; 8 y 9 fracción VII del Reglamento Interior de la Secretaría de Finanzas y Planeación.",,,,"$ 696,000.00",0004-AMERICA_VE_S_SA_DE_CV.pdf,"Dirección Administrativa/UV",,2016,,,Activo,$0.00,"$ 696,000.00","$ 696,000.00"
10,"Adjudicación directa","Crea Actividad Vera S.A. de C.V.",2016,"4o Trimestre (Octubre-Diciembre)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo",0005/2016,"Cobertura de propaganda Radiofonica del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","En los artículos 2,3,4,19 fracción III, 30 fracción VII y 33 fracciones XXXIII y XXXIV de la Ley Orgánica de la Administración Pública del Estado de Quintana Roo; 8 y 9 fracción VII del Reglamento Interior de la Secretaría de Finanzas y Planeación.",,,,"$ 696,000.00",0005-2016_CREA_ACTIVIDAD_VERASA_DE_CV-VICTOR_MANUEL_VERA_CASTILLO.pdf,"Dirección Administrativa/UV",,2016,,,Activo,$0.00,"$ 696,000.00","$ 696,000.00"
11,"Adjudicación directa","Editora de Medios Mapa S.A. de C.V",2016,"4o Trimestre (Octubre-Diciembre)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo",0006/2016,"Cobertura Publicitaria del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","En los artículos 2,3,4,19 fracción III, 30 fracción VII y 33 fracciones XXXIII y XXXIV de la Ley Orgánica de la Administración Pública del Estado de Quintana Roo; 8 y 9 fracción VII del Reglamento Interior de la Secretaría de Finanzas y Planeación.",,,,"$ 2,784,000.00",0006_EDITORIA_DE_MEDIOS_MAPA_SA_DE_CV.pdf,"Dirección Administrativa/UV",,2016,,,Activo,$0.00,"$ 2,784,000.00","$ 2,784,000.00"
